v1c,v1pclf,v1fplf,v1fpuf,v2c,v2pcuf,v2fplf,v4c,v4lf,7a,7b,lip,mip,dp,v6,5,7m,stpr,stpi,stpc,mst,mtc,mtp,teo,tepd,th/tf,pbr,pbc,1,2,3,24b,24c,32,f1,f2,f7,f3,f6,f4,f5,prom,10,9,46d,46v,9/46d,9/46v,8b,8l,8m,8r,45a,opro,25,14,12,v1pcuf,v2pclf,v2fpuf,v3c,v3pclf,v3pcuf,v3fplf,v3fpuf,v3a,v4uf,v4t,pro.st.,7op,vip,pip,aip,v6a,tpt,pga,ipa,fst,teom,peri,tead,teav,tepv,tea/ma,tea/mp,ento,subi,pole,core,mb,lb,pi,insula,gu,sii,23,24a,24d,29/30,31,45b,44,opai,11,13,pir
0.000000000000000000e+00,3.490430080354258932e-03,3.996809524442600795e-05,6.628184380447300688e-04,4.828236999543569948e-03,1.410084859436337669e-03,1.907871099215683496e-05,3.375346142445886347e-04,2.381442362516310535e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.674628389998480384e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.027403309506823236e-05,2.868133883659816959e-06,6.808422882829364201e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.703813926157731522e-03,4.395903868289995076e-04,1.246005785848049781e-04,4.277199032233057995e-03,4.877651850195537445e-04,3.300420285218349137e-04,1.777336306148494434e-04,1.437553640272228029e-04,2.013942293532832153e-05,1.232757747583924251e-04,1.189899157440568733e-04,9.573629214828524860e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.396532631152614360e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.918976470341535785e-05,1.357194461053123512e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.327116529142545898e-03,0.000000000000000000e+00,1.265322896688475301e-04,9.266421408413562464e-04,9.820723851510926446e-05,0.000000000000000000e+00,1.015041742028654939e-04,7.391038116236949159e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.478206185136037191e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.297647488850720638e-03,2.795402953816849938e-03,0.000000000000000000e+00,5.121233767070142178e-05,7.168410940639790890e-05,5.955938131067629179e-06,2.041943693614693244e-04,5.020700346880259763e-06,7.474586814710390483e-05,0.000000000000000000e+00,8.959448031832894688e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.462111737629917455e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.301548990526216148e-04,1.298703195022481681e-02,0.000000000000000000e+00,3.993290598333692522e-03,5.928052554803640644e-05,0.000000000000000000e+00,1.441205870224735591e-02,3.515825383449934304e-05,1.762546410697251334e-05,1.734954872399221556e-06,0.000000000000000000e+00,6.185948763577923274e-06,4.595263624785716278e-06,1.783007547114076781e-05,1.181142461910575023e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.077645406710572097e-06,1.027713144213426463e-05,1.287112881884983624e-05,0.000000000000000000e+00,2.725696264075648013e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.439179986744333235e-05,3.269250371016787626e-03,9.152809684228113219e-04,1.217704519450829588e-05,9.492156847263438465e-05,9.746411096060633153e-06,2.813900149846830165e-02,9.003520794566203351e-05,2.351435820339105483e-03,6.511557506673032324e-06,1.710445113424277687e-05,4.154635213565762569e-02,0.000000000000000000e+00,1.896761411588828933e-05,2.052768198801772361e-04,0.000000000000000000e+00,2.694722091479052504e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.381353553167769823e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.910650084317495976e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.187672137836672574e-05,1.469675118118643310e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.320849344367294231e-02,8.238643200989130208e-03,1.173290108202358108e-02,0.000000000000000000e+00,2.625713239080370198e-04,6.160023066263497875e-03,3.052369866304753608e-04,5.339022238929635208e-05,1.413800934689997231e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.137065415581707162e-06,2.741847556394175973e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.477900192251169285e-06,3.507156666964008405e-06,1.122133655395302934e-05,0.000000000000000000e+00,1.888815702013342112e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.863635159453969417e-02,4.051840246958439369e-05,3.726982134632321475e-02,1.127178175220034474e-04,4.733623948035267838e-05,2.516007390271316900e-04,4.827578829059313482e-05,1.956274504351684929e-02,1.806409073575330403e-05,3.231808120109224834e-04,5.970481399485944307e-06,3.381132712844317489e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.134971810946148234e-06,0.000000000000000000e+00,4.325535508829401934e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.800405719497359357e-06,3.527089206271250541e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.978511895760828528e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.333755309761457961e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.448378450438605370e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.204311475783559547e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.321863408023926933e-01,8.185104026488589438e-03,9.318894660281997356e-04,1.475600455111945181e-03,0.000000000000000000e+00,6.480144844267957116e-02,1.081624772062786421e-04,3.116470081559007121e-02,1.839635613530562130e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.166232173604056631e-05,9.857102313786500857e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.616522664569906449e-05,1.113124141626165497e-05,6.551377214264247559e-04,6.332928409960698836e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.254983782513157384e-02,4.093733716820469742e-02,2.199280022795824599e-04,1.535892218533693454e-01,1.713554550137329491e-01,3.856124359209830293e-02,4.410914625037536119e-02,2.545288032121984911e-03,3.244769678013930910e-04,5.041873420605218724e-03,6.407660575923549004e-04,9.308304607634706961e-06,0.000000000000000000e+00,0.000000000000000000e+00,2.271160523292824126e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.592457687678147855e-04,2.466028217177001309e-04,0.000000000000000000e+00,3.274258690623793183e-06,0.000000000000000000e+00,6.879031058196982935e-06,0.000000000000000000e+00,1.539199697255150379e-05,0.000000000000000000e+00,4.144238887198671780e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.975052923448876105e-03,8.297763317059664377e-06,3.227863769253720136e-05,1.561969787381386077e-03,1.381622365297901361e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.979952181308457535e-05,5.229001669289840544e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.039753230891823597e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.800691573848951599e-06,1.288702627710434340e-05,6.717665757948272285e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.382831260496949544e-02,5.273563884698483680e-05,1.696098596138334927e-02,1.491116099231118560e-04,3.322302196835002819e-05,2.565643481151356868e-03,3.726976246009959916e-05,7.165764518507498904e-03,2.231431215630204137e-05,4.812959277666768168e-04,1.503934804294582213e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.310233920842028732e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.273282817529876005e-06,6.210721372741422885e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.277308840884005246e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.972707567426513584e-04,1.195807527273431634e-03,1.184957028734774480e-02,2.204117859115756629e-03,1.030989524230175631e-04,3.079819338348143022e-06,0.000000000000000000e+00,5.056573387194301020e-06,1.502790977864285581e-03,2.161233995559969892e-04,4.881468613083797122e-06,8.589002986592575960e-04,2.563258369429265941e-04,2.670857187959153889e-03,4.148479899165739837e-02,3.329570875305743080e-06,9.613940523811113480e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.466926262346030807e-05,1.198671809870882274e-03,3.756182380528056385e-04,8.586847964295252688e-04,5.281132302688818333e-05,3.215921116989053624e-06,5.669018479904364952e-05,0.000000000000000000e+00,8.799752439082284976e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.263774763454128278e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.596295192146172850e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.046668543781483348e-06,7.576001281694650726e-06,2.758794526976978816e-06,0.000000000000000000e+00,1.263383596574289700e-05,3.315452161132293268e-06,7.203508777557830691e-05,3.369297246740902727e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.156117416881870568e-07,0.000000000000000000e+00,1.951227767299377531e-06,3.502970090936797370e-02,1.089294636554595801e-04,8.324809339647150537e-05,2.603153493922389077e-03,2.264378377309086233e-05,5.655232176045002501e-02,4.993013160653608502e-05,3.057432976156945065e-02,5.546950418552126154e-05,1.686883352391552377e-04,1.076806369253360471e-02,4.711554899416607970e-06,1.547887870537897372e-03,1.146415444507268080e-02,0.000000000000000000e+00,9.527832570681385796e-03,1.289266168611480367e-04,4.991309854869133233e-06,6.055826114285056414e-06,4.337786288365767567e-05,1.815959168071653741e-05,0.000000000000000000e+00,1.302391334396333624e-06,0.000000000000000000e+00,2.373762213373604462e-05,0.000000000000000000e+00,1.238887855104363225e-05,0.000000000000000000e+00,5.668448802694914230e-05,0.000000000000000000e+00,4.040213073686631346e-06,0.000000000000000000e+00,4.296220419045091062e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.373904221783117635e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.293847395221573880e-03,2.550987140012649698e-03,3.210484668970840661e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325003002641976209e-03,5.177649803895048743e-05,3.785652239402578084e-05,4.304055978052979904e-05,1.200162908188654766e-02,5.257987207916768157e-05,1.494052791436910368e-06,0.000000000000000000e+00,2.383271510660047582e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.208539780505704926e-06,0.000000000000000000e+00,1.756193682510323562e-04,4.299319925032930768e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.198342525298259735e-02,3.001833184998591725e-04,1.671114732132420594e-02,1.596898916314598766e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.614981778687733952e-05,5.279616795933482937e-05,3.445619696884518782e-06,1.850855451112898981e-02,4.411956751653204820e-03,6.185883646700684416e-04,8.563245497229842514e-05,1.402552528008629066e-05,2.540288639292016164e-04,1.037438583770938783e-02,3.267912575194446140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.759103279883799115e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.372822661114400763e-04,3.346910321355776180e-02,0.000000000000000000e+00,1.575013476742058807e-05,0.000000000000000000e+00,3.954998208232083318e-06,2.843613907913438128e-06,3.952337480314191301e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.005607915587124722e-02,1.649979694938962481e-03,6.471226488135780122e-03,5.143439085938026310e-04,9.441639426483287856e-03,4.996680910457914444e-04,6.484419785609875711e-03,3.317694927363679797e-02,0.000000000000000000e+00,8.759094597171316774e-04,0.000000000000000000e+00,6.560820038629412146e-04,1.695502774706994062e-05,1.803138237976754585e-02,4.160995038519118248e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.680951536776529943e-05,1.603673059049904031e-04,4.416230619316371953e-02,3.917962288481563471e-02,1.158120310248366910e-02,1.039065874853963836e-03,6.352125638267267445e-06,0.000000000000000000e+00,7.197360740261280230e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.259311694426840024e-04,1.249983363384128340e-02,2.011398065002864151e-05,8.219738297689480055e-02,9.144691406009146373e-02,6.611868833955664854e-03,1.334735242180214165e-02,3.919093708993309061e-04,7.740629984325723967e-02,1.106138216866805676e-02,5.485326827599096289e-02,1.251708925328930480e-04,0.000000000000000000e+00,2.812854488333757947e-05,5.955393573648438271e-02,0.000000000000000000e+00,8.141564911301754984e-04,1.414911591473811775e-05,2.824941606193657177e-05,3.945925355628592847e-06,2.208620714288740249e-03,2.690187959593176928e-02,0.000000000000000000e+00,2.275986302762550949e-05,0.000000000000000000e+00,4.346232956594904637e-04,3.391697153259553142e-06,4.689266486093090461e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.856690172285094386e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.168683892669800038e-05,4.635839729229890838e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.378546898362695450e-05,5.621268777909843405e-06,1.172660428187295581e-04,9.193076070881234371e-06,1.078763957981438072e-04,6.589985703506308783e-06,1.665930142353727042e-03,9.279361805417796335e-05,1.098130609235581801e-03,0.000000000000000000e+00,6.335698917728825597e-02,5.607293551189574538e-02,3.828369625682940224e-03,9.148763336768291066e-02,1.350178310998235466e-03,2.419595394314447059e-03,1.253288550338590426e-03,3.814965814896664439e-05,5.536594011972834496e-05,2.763642652965650048e-03,4.047594186370614966e-02,2.995826296526393762e-03,6.536128818946627950e-03,2.568426356476788798e-04,6.538922088066730629e-05,1.819185532167087596e-04,1.356593943148371467e-05,2.708733770592050192e-04,2.051478782499547551e-04,5.969614207810728735e-04,4.470814198293678689e-05,6.212195122393154205e-04,2.581611370187665284e-04,3.867313494740485779e-06,1.365941289489389294e-04,7.441980210921716890e-04,9.618339806853916634e-04,6.974846674516035406e-05,2.602696618484675629e-04,9.605591860225423575e-04,9.954842955967179862e-05,4.135475738739946469e-05,5.768072342275924085e-06,4.054978436662209608e-05,6.159802258284354003e-04,4.090249482839124597e-04,3.710730224743613776e-04,2.864270756789381194e-04,1.332595055897052615e-03,1.501600447863932208e-03,1.817309361717015090e-03,1.330382910565880254e-03,1.753675368223266931e-04,4.492030290964978638e-05,6.467525791595739848e-06,4.434203541602457129e-06,1.251171432137205338e-04,3.066723130355876710e-06,6.215603449976849935e-05,3.682284506631840291e-05,8.172486463681505916e-05,1.397365974855393480e-04,4.416853746052773775e-05,2.717984143303303689e-04,9.169820761807502356e-05,1.875958686803690578e-03,3.694914785847332075e-04,9.588720779769415717e-04,1.459609865221903459e-04,2.724648435192170842e-02,1.132167757040578558e-02,8.094236494519811698e-03,2.016240650263803266e-02,4.217574940849881486e-03,8.458991699186567403e-02,4.730219380435130472e-04,4.287335692000372451e-04,5.806034972329372898e-04,4.313973092429478485e-04,3.888440392004938092e-05,2.883984812860532329e-05,2.749180285235489126e-05,4.956650579539974549e-04,7.476785631500672074e-05,1.838007731597269103e-04,2.700733366384077295e-05,5.448874258191667510e-06,1.606875398806394904e-05,1.040523619304176828e-04,1.747246044125014015e-04,1.734786151922202671e-04,2.020808367800593769e-05,8.086664138071865274e-04,1.601108693032911860e-05,1.321121420108928573e-04,9.090028183857886161e-04,2.549947062420169944e-04,4.562287469949306840e-04,1.677183245550337284e-03,3.494367876805166626e-03,1.013704919491209121e-03,5.703388389020109953e-04,5.522489517120159296e-06,8.176115227327370423e-06,1.694321335079873193e-05,1.428231217733190907e-05
