v1c,v1pclf,v1fplf,v1fpuf,v2c,v2pcuf,v2fplf,v4c,v4lf,7a,7b,lip,mip,dp,v6,5,7m,stpr,stpi,stpc,mst,mtc,mtp,teo,tepd,th/tf,pbr,pbc,1,2,3,24b,24c,32,f1,f2,f7,f3,f6,f4,f5,prom,10,9,46d,46v,9/46d,9/46v,8b,8l,8m,8r,45a,opro,25,14,12,v1pcuf,v2pclf,v2fpuf,v3c,v3pclf,v3pcuf,v3fplf,v3fpuf,v3a,v4uf,v4t,pro.st.,7op,vip,pip,aip,v6a,tpt,pga,ipa,fst,teom,peri,tead,teav,tepv,tea/ma,tea/mp,ento,subi,pole,core,mb,lb,pi,insula,gu,sii,23,24a,24d,29/30,31,45b,44,opai,11,13,pir
0.000000000000000000e+00,2.145614698238294989e-03,9.044883680337439469e-05,1.121331704114671233e-03,9.467654247585116298e-03,9.114536418334238683e-04,2.375859484261649384e-05,1.980678151326275335e-04,1.828598774044552214e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.412453028882378496e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.937462812730445397e-06,2.834045816766652127e-06,5.042866925653944813e-05,1.577994973583347406e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.416869374089802434e-03,4.619503477822343063e-04,1.269924066660686919e-04,2.458759042430684431e-03,3.667418203956601696e-04,2.376104598844025017e-04,6.205058495975731300e-05,9.474235206780708617e-05,1.020509347839745854e-05,1.417582308215949312e-04,6.986356221752926450e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.886103154782074455e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.971763305840899760e-05,5.085432185385212092e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.386895714541383062e-03,0.000000000000000000e+00,6.501485603642295427e-04,1.674363150373052661e-03,1.767045003142208735e-04,0.000000000000000000e+00,1.836842841696311433e-04,4.754800715109369505e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.273356869907367288e-03,8.455442072116153840e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.026916717267283821e-04,0.000000000000000000e+00,3.893945713512954776e-04,0.000000000000000000e+00,7.387385916017058160e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.925679417612553455e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.064770937903546921e-04,1.038793359235597527e-02,0.000000000000000000e+00,6.072591301143312123e-03,5.776062525395090518e-05,0.000000000000000000e+00,1.737325570034118846e-02,4.480066036100420555e-05,1.583538954925290131e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.513935255313699698e-05,0.000000000000000000e+00,1.463928750552566489e-05,7.472277291130135016e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.377712248986655128e-06,1.034509653445735182e-05,1.712614904805192763e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.176865127971019940e-05,4.879539221152361626e-03,6.126300765136975801e-04,0.000000000000000000e+00,1.672898522800869898e-04,2.512496084020554804e-05,1.764237688090433340e-02,3.710193325680074004e-05,2.508675424173741411e-03,8.304965758290015383e-06,1.303644460276784726e-05,4.813055124485763475e-02,0.000000000000000000e+00,2.083666555282132581e-05,1.089175282818777437e-04,0.000000000000000000e+00,1.107769061096419195e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.861257043793377644e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.263738911056419750e-02,7.457832174332846946e-03,4.840004428434359351e-03,0.000000000000000000e+00,3.573730209286109715e-04,7.195768192416024910e-03,1.402174586465738070e-04,9.797388798815596651e-05,1.050618620418796574e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.922991353758420169e-06,1.296445224839860833e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.963585701633766568e-06,2.995253161245937461e-06,1.399696149966835069e-05,3.535233019777857538e-06,2.250973506174939716e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504363437969152319e-02,3.526767125246231207e-05,2.800590489489645715e-02,1.288797373620007600e-04,2.410539153850404227e-05,1.751856791643323960e-04,2.696449870546750437e-05,9.169870929461350004e-03,1.446574378871695692e-05,3.677881598989752145e-04,6.584945485544659953e-06,3.114765048222058880e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.213211146457026687e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.097268779455950027e-06,6.426883536913288530e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.597966386864924913e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.031690776209354010e-02,2.609445688911048600e-03,1.353902558515791702e-03,1.016453593904696751e-03,0.000000000000000000e+00,2.810306152346573466e-02,7.819769769102936354e-05,5.058317709548724138e-03,1.458757648112538659e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080979985488394827e-05,8.738902890739424600e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.597227213476651599e-05,1.383997088110064042e-05,5.126110041246075043e-04,4.683662161953232248e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.871411464902874064e-03,1.507820299431860203e-02,2.238574136930820643e-04,4.436070095410361847e-02,6.030566995821903808e-02,1.835039818299477946e-02,2.967594024786569806e-02,1.468086780979622509e-03,2.709486425743130086e-04,4.761917171858219555e-03,3.278778460159535463e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.240411286555282954e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.328600010298453339e-04,1.418175696666535584e-04,0.000000000000000000e+00,3.462166299890346725e-06,0.000000000000000000e+00,1.344499375857164860e-05,0.000000000000000000e+00,8.575428758845525667e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.778728897488302266e-03,8.508229377025152925e-06,2.170420144352989779e-05,3.118765432317628650e-03,2.947905606071556800e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.359199553897915010e-04,4.455571194479522785e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.030238932473234084e-06,1.180940177009424790e-05,1.370243284805347830e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.831890672808298259e-02,3.367037453901590519e-05,2.915882125463741675e-02,1.665791616388862819e-04,2.656085372104109913e-05,3.539014913803815651e-03,3.859762717403796071e-05,7.159672125559748967e-03,3.279263597892686404e-05,8.824724505697473416e-04,2.265067084081791527e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.299672190956228005e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.967084220967726690e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.705301913250342749e-04,1.008080250892063809e-03,2.822983183306640095e-02,1.891732027971305312e-03,5.636555803023461029e-05,3.457070705066347921e-06,0.000000000000000000e+00,8.522815068298695982e-06,1.705157683605401132e-03,1.259381190038816182e-04,0.000000000000000000e+00,6.590886435457383487e-04,2.145109772250183584e-04,2.055321796161724800e-03,3.296655638727473414e-02,0.000000000000000000e+00,8.900289991633813288e-04,0.000000000000000000e+00,4.473431875672976916e-06,2.810334405484457641e-05,5.248179268029474435e-04,8.810467636658694671e-05,7.523109998809016661e-04,2.411410567532845271e-05,3.421799438998766487e-06,1.433628677755056216e-05,0.000000000000000000e+00,8.237137153063441784e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.046964945029188259e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.235792565583299875e-05,3.900844019794454756e-06,3.256616750999568108e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.010472877218196616e-06,0.000000000000000000e+00,2.155253890395085980e-06,4.108656864261704678e-02,4.855943261521273051e-05,3.789602042942789530e-05,2.778409391635850833e-03,1.812337232184163042e-05,5.796432951120771698e-02,1.752681723331812842e-05,1.140589558803294795e-02,1.520718384077561081e-05,6.582116852152800957e-05,6.611687141064952027e-03,4.153110263434089726e-06,1.955050260162802169e-03,5.827414674921486265e-03,0.000000000000000000e+00,7.129422657400040497e-03,6.106284472460564558e-05,4.188688632690186661e-06,6.007366472192658278e-06,1.965064973936583233e-05,1.446582936756668364e-05,0.000000000000000000e+00,1.283770964902872975e-06,1.206931666304048753e-06,1.099638883743832804e-05,1.078580625440111601e-06,7.420601550750766441e-06,0.000000000000000000e+00,8.411585610078149635e-05,0.000000000000000000e+00,4.048938151150603630e-06,0.000000000000000000e+00,3.266980332709971193e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.462088874253385344e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.174874599706693824e-03,1.560284592764254238e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.030972468786533380e-04,2.375455098077242715e-05,2.807232888362722916e-05,4.719635341400622391e-05,8.072937606790533266e-03,4.319192519514932746e-05,2.403679459700646686e-06,0.000000000000000000e+00,1.163156455574778335e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.209282584044538185e-06,0.000000000000000000e+00,1.983234872156506418e-04,5.242234066830786945e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.383381288550733848e-02,3.368551698869921688e-04,1.063251063133579220e-02,1.768690120639584377e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.970663740611271619e-05,4.005364959348977510e-05,3.401533049380283371e-06,1.102730066890654330e-02,1.600126727374973730e-03,7.284589355687703200e-04,7.472220995058163971e-05,1.407576200644942172e-05,2.721801658411880176e-04,9.261321364462664352e-03,2.968693437349309919e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.016437193917189790e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195399529747429413e-04,2.673562604433354917e-02,0.000000000000000000e+00,1.075328197155501914e-05,0.000000000000000000e+00,8.608188662737521508e-06,0.000000000000000000e+00,6.437870730245544423e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.207460208874759196e-03,8.914507759372951139e-04,2.465112140504587771e-03,1.697130912059178381e-04,6.993775883076305475e-03,1.881220472433949996e-04,3.237761112342649530e-03,7.646601704143704548e-03,0.000000000000000000e+00,7.636089040270581125e-04,0.000000000000000000e+00,5.223995346923429161e-04,1.778361932019385203e-05,1.347977101790845574e-02,3.055669756049046726e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.425063697020261578e-05,2.198413785453439404e-04,2.261334194644985113e-02,1.797639535180367565e-02,5.024742565843705669e-03,3.732750826655177752e-04,3.489555485408141344e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.625463365390954586e-04,6.743087565798441992e-03,1.803570460119040118e-05,3.364879739496141886e-02,3.889528651418336369e-02,4.701012542702664998e-03,7.058480751390368117e-03,1.890130420678559544e-04,3.670590730834014798e-02,5.057593629348593189e-03,2.716794272659496176e-02,1.052565337889660820e-04,0.000000000000000000e+00,2.992845734310834970e-05,3.302147865993124154e-02,0.000000000000000000e+00,2.620371764853570481e-04,2.093881495868089379e-05,3.829463266367561517e-05,5.448198141587982024e-06,2.222595559246283783e-03,1.516806649149199035e-02,0.000000000000000000e+00,2.639430804537870010e-05,5.403607558702396056e-06,1.373603177684021130e-04,0.000000000000000000e+00,3.596100808087457704e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.088580345600063768e-05,6.952994641777896959e-06,9.085792534440152756e-05,1.011516818632851892e-05,2.967405460391254836e-05,7.872478431055499943e-06,9.905666737182014688e-04,8.073911291023084830e-05,1.316499816023001179e-03,0.000000000000000000e+00,7.319277497939925825e-02,5.208660943160767914e-02,1.819462321184605377e-03,8.167182156260030523e-02,8.684450033311515681e-04,1.294439890362160828e-03,5.629088527838871110e-04,5.671703286267042242e-05,1.306616865121972839e-04,3.600354595106337961e-03,4.371279817362522246e-02,2.768878856530630934e-03,3.855441333049912551e-03,1.187155868706491548e-04,5.000769780992893066e-05,5.926103160810542944e-05,2.457206423448337484e-05,3.989186953367843038e-04,2.549557072359497230e-04,7.869430555002786525e-04,6.838271992028417733e-05,3.136699397236683280e-04,1.835349543057777466e-04,5.914386321001491100e-06,1.135452908203000636e-04,2.666293022497653615e-04,4.572487331380514037e-04,3.586528301819431224e-05,1.561164759474150049e-04,5.223994681373192710e-04,8.881894208494167610e-05,3.597842546788887328e-05,8.648444311276465179e-06,4.001016611578270103e-05,2.366496029766026392e-04,2.679199102591896188e-04,2.070443836549368992e-04,1.567266410990423599e-04,4.476619311157271322e-04,7.270303230679319275e-04,6.137102302778814572e-04,6.227087297330593813e-04,2.317015091286902259e-04,7.132053960708758438e-05,8.081787193527870811e-06,6.996123863621805701e-06,1.131053354403934342e-04,4.504919949373102028e-06,5.060276963996579365e-05,2.869767755916077546e-05,6.197667591273216064e-05,1.050720455343645137e-04,4.933369497050198068e-05,1.786095335140653749e-04,3.803040727262397132e-05,1.432239089027971058e-03,1.310337335147044246e-04,8.231449994872975509e-04,1.290248261305682682e-04,4.812388590864627447e-02,6.466930108322391929e-03,3.819336829592935145e-03,1.429720789813451222e-02,1.422390355544425437e-03,8.737184905567690896e-02,6.983809982767364127e-04,3.076960477494227321e-04,7.176195121540158810e-04,2.857021076362762312e-04,3.196267570548661625e-05,1.701727928862147902e-05,2.221022115533590887e-05,2.168039919131774132e-04,5.919509642377296285e-05,1.474590903596771098e-04,3.917241482506766465e-05,6.316970844287499443e-06,2.578913357190489635e-05,2.133396330807083247e-04,4.291468638335101896e-04,4.175792503655581544e-04,3.571941581415718277e-05,7.295159042375781765e-04,2.721365547799030790e-05,1.828594607295918261e-04,6.586313489124209991e-04,3.023797724951265411e-04,2.371587866333107987e-04,1.586118103687582685e-03,2.470683106779541800e-03,5.365687496461140271e-04,3.844710324843900141e-04,6.252964117512885499e-06,8.574863307313629871e-06,2.046950524326977822e-05,2.107259355936556892e-05
