"","X","area","area2","red","green","blue"
"1",1,"1","1",255,119,123
"2",2,"10","10",255,0,0
"3",3,"11","11_1",0,161,0
"4",4,"11","11_2",0,161,0
"5",5,"12","12_1",125,0,255
"6",6,"12","12_2",125,0,255
"7",7,"13","13_1",61,61,64
"8",8,"13","13_2",61,61,64
"9",9,"14","14",95,0,128
"10",10,"2","2",161,0,68
"11",11,"23","23",0,69,0
"12",12,"24a","24a",0,240,121
"13",13,"24b","24b",255,146,83
"14",14,"24c","24c",121,0,16
"15",15,"24d","24d",255,72,47
"16",16,"25","25",0,124,0
"17",17,"29/30","29/30",188,68,255
"18",18,"3","3",68,196,197
"19",19,"31","31",0,0,86
"20",20,"32","32",0,121,255
"21",21,"44","44",255,255,174
"22",22,"45A","45A",200,0,200
"23",23,"45B","45B",0,124,125
"24",24,"46d","46d",255,121,0
"25",25,"46v","46v_1",255,235,0
"26",26,"46v","46v_2",255,235,0
"27",27,"5","5",53,77,130
"28",28,"7A","7A",148,54,6
"29",29,"7B","7B",96,47,170
"30",30,"7m","7m",204,68,17
"31",31,"7op","7op",0,49,199
"32",32,"8B","8B",102,120,255
"33",33,"8l","8l",164,0,0
"34",34,"8m","8m",113,47,0
"35",35,"8r","8r",238,0,52
"36",36,"9","9",255,184,0
"37",37,"9/46d","9/46d",122,159,0
"38",38,"9/46v","9/46v",198,255,0
"39",39,"AIP","AIP",169,134,0
"40",40,"CORE","CORE",255,80,122
"41",41,"DP","DP",151,151,57
"42",42,"ENTO","ENTO_1",130,202,57
"43",43,"ENTO","ENTO_2",130,202,57
"44",44,"ENTO","ENTO_3",130,202,57
"45",45,"F1","F1",95,75,41
"46",46,"F2","F2",255,149,255
"47",47,"F3","F3",150,131,232
"48",48,"F4","F4",5,43,129
"49",49,"F5","F5",184,219,255
"50",50,"F6","F6",24,225,255
"51",51,"F7","F7",255,56,70
"52",52,"FST","FST",124,59,31
"53",53,"Gu","Gu",0,49,0
"54",54,"INSULA","INSULA",147,70,255
"55",55,"IPa","IPa",0,154,255
"56",56,"LB","LB",0,65,116
"57",57,"LIP","LIP",255,118,0
"58",58,"MB","MB",128,61,84
"59",59,"MIP","MIP",52,123,64
"60",60,"MST","MST",146,134,186
"61",61,"MTc","MTc",255,0,0
"62",62,"MTp","MTp",255,120,120
"63",63,"OPAI","OPAI",247,217,149
"64",64,"OPRO","OPRO",255,222,223
"65",65,"PBc","PBc",237,206,55
"66",66,"PBr","PBr",196,255,255
"67",67,"PERI","PERI",255,59,58
"68",68,"PGa","PGa",125,168,102
"69",69,"Pi","Pi",174,226,255
"70",70,"PIP","PIP",255,0,151
"71",71,"Pir","Pir",255,255,0
"72",72,"POLE","POLE",133,0,121
"73",73,"Pro.St.","Pro.St.",255,161,77
"74",74,"ProM","ProM",197,255,201
"75",75,"SII","SII",41,141,72
"76",76,"STPc","STPc",181,0,85
"77",77,"STPi","STPi",103,0,85
"78",78,"STPr","STPr",69,0,161
"79",79,"SUBI","SUBI",30,130,230
"80",80,"TEa/ma","TEa/ma",7,93,136
"81",81,"TEa/mp","TEa/mp",60,190,54
"82",82,"TEad","TEad",0,255,249
"83",83,"TEav","TEav",0,255,104
"84",84,"TEO","TEO",255,95,162
"85",85,"TEOm","TEOm",71,116,174
"86",86,"TEpd","TEpd",223,163,0
"87",87,"TEpv","TEpv",174,209,0
"88",88,"TH/TF","TH/TF",182,0,102
"89",89,"TPt","TPt",133,195,174
"90",90,"V1c","V1c",190,58,58
"91",91,"V1fpLF","V1fpLF",250,118,118
"92",92,"V1fpUF","V1fpUF_1",250,118,118
"93",93,"V1fpUF","V1fpUF_2",250,118,118
"94",94,"V1pcLF","V1pcLF",220,88,88
"95",95,"V1pcUF","V1pcUF_1",220,88,88
"96",96,"V1pcUF","V1pcUF_2",220,88,88
"97",97,"V2c","V2c",190,190,0
"98",98,"V2fpLF","V2fpLF",250,250,60
"99",99,"V2fpUF","V2fpUF",250,250,60
"100",100,"V2pcLF","V2pcLF",220,220,30
"101",101,"V2pcUF","V2pcUF",220,220,30
"102",102,"V3A","V3A",0,190,0
"103",103,"V3c","V3c_1",0,190,0
"104",104,"V3c","V3c_2",0,190,0
"105",105,"V3fpLF","V3fpLF",60,250,60
"106",106,"V3fpUF","V3fpUF",60,250,60
"107",107,"V3pcLF","V3pcLF",30,220,30
"108",108,"V3pcUF","V3pcUF",30,220,30
"109",109,"V4c","V4c",0,0,190
"110",110,"V4LF","V4LF",60,60,250
"111",111,"V4t","V4t",174,17,132
"112",112,"V4UF","V4UF",60,60,250
"113",113,"V6","V6",167,0,255
"114",114,"V6A","V6A",36,189,125
"115",115,"VIP","VIP",0,184,0
