"","area","area2","x","y"
"1","1","1",548.17951754,409.11338639
"2","1","1",542.18342591,413.10947924
"3","1","1",535.87483349,420.10947749
"4","1","1",531.1873358,428.10556791
"5","1","1",528.18733612,437.10165923
"6","1","1",525.18733744,445.10165637
"7","1","1",524.18733755,448.66024933
"8","1","1",523.18733766,454.09774769
"9","1","1",522.18733777,460.09383932
"10","1","1",520.1912447,465.09383779
"11","1","1",518.19124591,470.08993053
"12","1","1",515.19124624,479.08992757
"13","1","1",513.19124745,486.0860191
"14","1","1",512.19124756,493.08211063
"15","1","1",511.19124766,496.49226615
"16","1","1",508.19515471,503.08210756
"17","1","1",506.19515592,512.07819888
"18","1","1",505.19515603,519.07429041
"19","1","1",503.19515624,524.07428887
"20","1","1",500.19515756,529.07038062
"21","1","1",497.94515855,533.07037919
"22","1","1",493.19906603,539.07037755
"23","1","1",490.19906635,543.0664704
"24","1","1",488.19906757,548.06646886
"25","1","1",487.69906712,552.03521766
"26","1","1",487.69906712,563.35943243
"27","1","1",488.19906757,575.78520987
"28","1","1",488.19906757,582.05473906
"29","1","1",487.19906767,587.05473753
"30","1","1",485.19906789,593.05083017
"31","1","1",482.20297593,600.05082742
"32","1","1",480.20297614,605.04692016
"33","1","1",479.20297625,606.04691906
"34","1","1",479.20297625,610.35551168
"35","1","1",480.20297614,614.04301048
"36","1","1",482.20297593,617.04301016
"37","1","1",485.19906789,622.04300862
"38","1","1",489.19906746,626.03910047
"39","1","1",489.39828529,624.99222591
"40","1","1",491.39828508,618.99222755
"41","1","1",494.19906592,612.04691741
"42","1","1",497.19515788,606.04691906
"43","1","1",499.19515767,602.04692048
"44","1","1",501.35531307,598.71879713
"45","1","1",502.35531296,596.71879735
"46","1","1",502.19515635,595.05082895
"47","1","1",501.19515745,592.05083027
"48","1","1",498.19515777,586.05473864
"49","1","1",496.69906516,582.51567729
"50","1","1",495.19906482,578.05474049
"51","1","1",494.19906592,574.05864864
"52","1","1",493.19906603,568.05865028
"53","1","1",493.19906603,563.06255754
"54","1","1",494.19906592,557.06256018
"55","1","1",496.19906471,551.06646754
"56","1","1",498.19515777,547.06646897
"57","1","1",502.19515635,542.06647051
"58","1","1",506.19515592,535.07037898
"59","1","1",509.19124888,528.07428745
"60","1","1",512.19124756,522.07428909
"61","1","1",514.69124679,513.90632289
"62","1","1",518.53108975,506.05085646
